Driver instructions:

Strategy instructions:

Power 1:

Power 2:

Power 3:

Rpm 1:
1, rpm, x, 10:57:29.518
488, rpm, -1, 11:10:07.134
489, rpm, -1, 11:10:07.134
490, rpm, -1, 11:10:07.134
491, rpm, -1, 11:10:07.134
492, rpm, -1, 11:10:07.134
493, rpm, -1, 11:10:07.134
494, rpm, -1, 11:10:07.134
495, rpm, -1, 11:10:07.134
496, rpm, -1, 11:10:07.134
497, rpm, -1, 11:10:07.134
498, rpm, -1, 11:10:07.134
499, rpm, -1, 11:10:07.134
500, rpm, -1, 11:10:07.134
501, rpm, -1, 11:10:07.134
502, rpm, -1, 11:10:07.134
503, rpm, -1, 11:10:07.134
504, rpm, -1, 11:10:07.134
505, rpm, -1, 11:10:07.134
506, rpm, -1, 11:10:07.134
507, rpm, -1, 11:10:07.134
508, rpm, -1, 11:10:07.134
509, rpm, -1, 11:10:07.134
510, rpm, -1, 11:10:07.134
511, rpm, -1, 11:10:07.134
512, rpm, -1, 11:10:07.134
513, rpm, -1, 11:10:07.134
514, rpm, -1, 11:10:07.134
515, rpm, -1, 11:10:07.134
516, rpm, -1, 11:10:07.134
517, rpm, -1, 11:10:07.134
518, rpm, -1, 11:10:07.134
519, rpm, -1, 11:10:07.134
520, rpm, -1, 11:10:07.134
521, rpm, -1, 11:10:07.134
522, rpm, -1, 11:10:07.134
523, rpm, -1, 11:10:07.134
524, rpm, -1, 11:10:07.134
525, rpm, -1, 11:10:07.134
526, rpm, -1, 11:10:07.134
527, rpm, -1, 11:10:07.134
528, rpm, -1, 11:10:07.134
529, rpm, -1, 11:10:07.134
530, rpm, -1, 11:10:07.134
531, rpm, -1, 11:10:07.134
532, rpm, -1, 11:10:07.134
533, rpm, -1, 11:10:07.134
534, rpm, -1, 11:10:07.134
535, rpm, -1, 11:10:07.134
536, rpm, -1, 11:10:07.134
537, rpm, -1, 11:10:07.134
538, rpm, -1, 11:10:07.134
539, rpm, -1, 11:10:07.134
540, rpm, -1, 11:10:07.134
541, rpm, -1, 11:10:07.134
542, rpm, -1, 11:10:07.134
543, rpm, -1, 11:10:07.134
544, rpm, -1, 11:10:07.134
545, rpm, -1, 11:10:07.134
546, rpm, -1, 11:10:07.134
547, rpm, -1, 11:10:07.134
548, rpm, -1, 11:10:07.134
549, rpm, -1, 11:10:07.134
550, rpm, -1, 11:10:07.134
551, rpm, -1, 11:10:07.134
552, rpm, -1, 11:10:07.134
553, rpm, -1, 11:10:07.134
554, rpm, -1, 11:10:07.134
555, rpm, -1, 11:10:07.134
556, rpm, -1, 11:10:07.134
557, rpm, -1, 11:10:07.134
558, rpm, -1, 11:10:07.134
559, rpm, -1, 11:10:07.134
560, rpm, -1, 11:10:07.134
561, rpm, -1, 11:10:07.134
562, rpm, -1, 11:10:07.134
563, rpm, -1, 11:10:07.134
564, rpm, -1, 11:10:07.134
565, rpm, -1, 11:10:07.134
566, rpm, -1, 11:10:07.134
567, rpm, -1, 11:10:07.134
568, rpm, -1, 11:10:07.134
569, rpm, -1, 11:10:07.134
570, rpm, -1, 11:10:07.134
571, rpm, -1, 11:10:07.134
572, rpm, -1, 11:10:07.134
573, rpm, -1, 11:10:07.134
574, rpm, -1, 11:10:07.134
575, rpm, -1, 11:10:07.134
576, rpm, -1, 11:10:07.134
577, rpm, -1, 11:10:07.134
578, rpm, -1, 11:10:07.134
579, rpm, -1, 11:10:07.134
580, rpm, -1, 11:10:07.134
581, rpm, -1, 11:10:07.134
582, rpm, -1, 11:10:07.134
583, rpm, -1, 11:10:07.134
584, rpm, -1, 11:10:07.134
585, rpm, -1, 11:10:07.134
586, rpm, -1, 11:10:07.134
587, rpm, -1, 11:10:07.134
588, rpm, -1, 11:10:07.134
589, rpm, -1, 11:10:07.134
590, rpm, -1, 11:10:07.134
591, rpm, -1, 11:10:07.134
592, rpm, -1, 11:10:07.134
593, rpm, -1, 11:10:07.134
594, rpm, -1, 11:10:07.134
595, rpm, -1, 11:10:07.134
596, rpm, -1, 11:10:07.134
597, rpm, -1, 11:10:07.134
598, rpm, -1, 11:10:07.134
599, rpm, -1, 11:10:07.134
600, rpm, -1, 11:10:07.134
601, rpm, -1, 11:10:07.134
602, rpm, -1, 11:10:07.134
603, rpm, -1, 11:10:07.134
604, rpm, -1, 11:10:07.134
605, rpm, 0, 11:16:31.214
606, rpm, 0, 11:16:31.214
607, rpm, 19, 11:16:34.161
608, rpm, 19, 11:16:34.161
609, rpm, 31, 11:16:37.508
610, rpm, 31, 11:16:37.508
611, rpm, 31, 11:16:37.508
612, rpm, 31, 11:16:37.508
613, rpm, 31, 11:16:37.508
614, rpm, 31, 11:16:37.508
615, rpm, 31, 11:16:37.508
616, rpm, 31, 11:16:37.508
617, rpm, 31, 11:16:37.508
618, rpm, 31, 11:16:37.508
619, rpm, 31, 11:16:37.508
620, rpm, 31, 11:16:37.508
621, rpm, 31, 11:16:37.508
622, rpm, 31, 11:16:37.508
623, rpm, 31, 11:16:37.508
624, rpm, 31, 11:16:37.508
625, rpm, 31, 11:16:37.508
626, rpm, 31, 11:16:37.508
627, rpm, 31, 11:16:37.508
628, rpm, 31, 11:16:37.508
629, rpm, 31, 11:16:37.508
630, rpm, 31, 11:16:37.508
631, rpm, 31, 11:16:37.508
632, rpm, 31, 11:16:37.508
633, rpm, 31, 11:16:37.508
634, rpm, 31, 11:16:37.508
635, rpm, 31, 11:16:37.508
636, rpm, 31, 11:16:37.508
637, rpm, 31, 11:16:37.508
638, rpm, 31, 11:16:37.508
639, rpm, 31, 11:16:37.508
640, rpm, 31, 11:16:37.508
641, rpm, 31, 11:16:37.508
642, rpm, 31, 11:16:37.508
643, rpm, 31, 11:16:37.508
644, rpm, 31, 11:16:37.508
645, rpm, 31, 11:16:37.508
646, rpm, 31, 11:16:37.508
647, rpm, 31, 11:16:37.508
648, rpm, 31, 11:16:37.508
649, rpm, 31, 11:16:37.508
650, rpm, 31, 11:16:37.508
651, rpm, 31, 11:16:37.508
652, rpm, 31, 11:16:37.508
653, rpm, 31, 11:16:37.508
654, rpm, 31, 11:16:37.508
655, rpm, 31, 11:16:37.508
656, rpm, 31, 11:16:37.508
657, rpm, 31, 11:16:37.508
658, rpm, 31, 11:16:37.508
659, rpm, 31, 11:16:37.508
660, rpm, 31, 11:16:37.508
661, rpm, 31, 11:16:37.508
662, rpm, 31, 11:16:37.508
663, rpm, 31, 11:16:37.508
664, rpm, 31, 11:16:37.508
665, rpm, 31, 11:16:37.508
666, rpm, 31, 11:16:37.508
667, rpm, 31, 11:16:37.508
668, rpm, 31, 11:16:37.508
669, rpm, 31, 11:16:37.508
670, rpm, 31, 11:16:37.508
671, rpm, 31, 11:16:37.508
672, rpm, 31, 11:16:37.508
673, rpm, 31, 11:16:37.508
674, rpm, 31, 11:16:37.508
675, rpm, 31, 11:16:37.508
676, rpm, 31, 11:16:37.508
677, rpm, 31, 11:16:37.508
678, rpm, 31, 11:16:37.508
679, rpm, 31, 11:16:37.508
680, rpm, 31, 11:16:37.508
681, rpm, 31, 11:16:37.508
682, rpm, 31, 11:16:37.508
683, rpm, 31, 11:16:37.508
684, rpm, 31, 11:16:37.508
685, rpm, 31, 11:16:37.508
686, rpm, 31, 11:16:37.508
687, rpm, 31, 11:16:37.508
688, rpm, 31, 11:16:37.508
689, rpm, 31, 11:16:37.508
690, rpm, 31, 11:16:37.508
691, rpm, 31, 11:16:37.508
692, rpm, 31, 11:16:37.508
693, rpm, 31, 11:16:37.508
694, rpm, 31, 11:16:37.508
695, rpm, 31, 11:16:37.508
696, rpm, 31, 11:16:37.508
697, rpm, 31, 11:16:37.508
698, rpm, 31, 11:16:37.508
699, rpm, 31, 11:16:37.508
700, rpm, 31, 11:16:37.508
701, rpm, 31, 11:16:37.508
702, rpm, 31, 11:16:37.508
703, rpm, 31, 11:16:37.508
704, rpm, 31, 11:16:37.508
705, rpm, 31, 11:16:37.508
706, rpm, 31, 11:16:37.508
707, rpm, 31, 11:16:37.508
708, rpm, 31, 11:16:37.508
709, rpm, 31, 11:16:37.508
710, rpm, 31, 11:16:37.508
711, rpm, 31, 11:16:37.508
712, rpm, 31, 11:16:37.508
713, rpm, 31, 11:16:37.508
714, rpm, 31, 11:16:37.508
